Route,Stop_ID,Stop_name,Lat,Lon,Stop_sequence,Destination,Direction
4,491,Warrington Place,53.33780463,-6.241303865,29,Harristown,0
4,492,Merrion Square,53.33858446,-6.243599454,30,Harristown,0
4,493,Merrion Street,53.3398532,-6.247361814,31,Harristown,0
4,494,Lincoln Place,53.3414174,-6.251667978,32,Harristown,0
4,495,Pearse Station,53.34358212,-6.249732063,33,Harristown,0
4,400,Hawkins Street,53.34475927,-6.252777849,34,Harristown,0
4,281,Dublin Bus,53.35091828,-6.260923017,35,Harristown,0
4,6,Rotunda Hospital,53.35274013,-6.264439156,36,Harristown,0
4,194,Youth Club,53.35504043,-6.269964297,37,Harristown,0
4,195,Constitution Hill,53.35500171,-6.273496272,38,Harristown,0
4,196,Broadstone,53.3568747,-6.273736052,39,Harristown,0
4,197,Monck Place,53.35895263,-6.273231374,40,Harristown,0
4,198,Royse Road,53.36162538,-6.27283781,41,Harristown,0
4,199,Munster Street,53.36361283,-6.27229161,42,Harristown,0
4,200,Prospect Avenue,53.36742269,-6.271596444,43,Harristown,0
4,201,Cliftonville Road,53.3682819,-6.270103972,44,Harristown,0
4,148,Botanic Road,53.37066118,-6.268068872,45,Harristown,0
4,149,St. Mobhi Drive,53.37313837,-6.265969446,46,Harristown,0
4,150,Home Farm Road,53.37565885,-6.264995283,47,Harristown,0
4,27,Griffith Avenue,53.37943874,-6.266570239,48,Harristown,0
4,28,Glasnevin Tennis Club,53.38157842,-6.265987247,49,Harristown,0
4,29,St. Canice's Road,53.38348825,-6.265669101,50,Harristown,0
4,4680,DCU,53.38496648,-6.265338406,51,Harristown,0
4,90,St. Pappin's Road,53.38638531,-6.265250648,52,Harristown,0
4,91,Glasnevin Avenue,53.38842767,-6.265393116,53,Harristown,0
4,92,Shanliss Road,53.38983712,-6.264659214,54,Harristown,0
4,93,Shanliss Road,53.39229249,-6.264153341,55,Harristown,0
4,94,Silloge Road,53.39603476,-6.26437696,56,Harristown,0
4,126,Nursing Home,53.39909547,-6.264086961,57,Harristown,0
4,6182,Santry Avenue,53.40225075,-6.265357189,58,Harristown,0
4,322,Gulliver's Retail Park,53.40425499,-6.265350845,59,Harristown,0
4,323,Silloge Golf Club,53.41292066,-6.265434432,60,Harristown,0
4,332,Bus Garage,53.41735244,-6.27852372,61,Harristown,0
