Stop_ID,point1,Stop_ID,point2,distance
273,"O'Connell St",7113,"Ballymun Road",6.267839683290414
408,"Merrion Sq",7113,"Ballymun Road",6.725042729209348
408,"Merrion Sq",7113,"Ballymun Road",6.814318575836503
412,"Northumberland Rd",7113,"Ballymun Road",7.51236413397785
414,"Pembroke Road",7113,"Ballymun Road",7.960667838918692
414,"Pembroke Road",7113,"Ballymun Road",8.082269084285336
416,Ballsbridge,7113,"Ballymun Road",8.358755885785088
416,Ballsbridge,7113,"Ballymun Road",8.406540186866595
416,Ballsbridge,7113,"Ballymun Road",8.449286178777324
418,"Merrion Road",7113,"Ballymun Road",8.783500374646747
418,"Merrion Road",7113,"Ballymun Road",8.885956865926364
422,"Merrion Road",7113,"Ballymun Road",9.87463162107037
422,"Merrion Road",7113,"Ballymun Road",9.87463162107037
422,"Merrion Road",7113,"Ballymun Road",10.004213638209572
424,"Merrion Road",7113,"Ballymun Road",10.318853722909527
424,"Merrion Road",7113,"Ballymun Road",10.441526473825897
424,"Merrion Road",7113,"Ballymun Road",10.492260121765263
424,"Merrion Road",7113,"Ballymun Road",10.658848098094357
426,"Rock Road",7113,"Ballymun Road",10.908301885005889
426,"Rock Road",7113,"Ballymun Road",11.167589302795873
428,"Rock Road",7113,"Ballymun Road",11.633507766325087
428,"Rock Road",7113,"Ballymun Road",11.804208684827488
6334,"Frascati Road",7113,"Ballymun Road",12.377859342906177
6334,"Frascati Road",7113,"Ballymun Road",12.377859342906177
6334,"Frascati Road",7113,"Ballymun Road",12.461790216164873
6334,"Frascati Road",7113,"Ballymun Road",12.468079527686466
6334,"Frascati Road",7113,"Ballymun Road",12.646627354982778
6334,"Frascati Road",7113,"Ballymun Road",12.85982683963306
6334,"Frascati Road",7113,"Ballymun Road",13.004208372920537
6334,"Frascati Road",7113,"Ballymun Road",13.004208372920537
6334,"Frascati Road",7113,"Ballymun Road",13.004208372920537
6334,"Frascati Road",7113,"Ballymun Road",13.091113748719154
113,"Ballymun Road",7113,"Ballymun Road",0.7620910593657408
113,"Ballymun Road",7113,"Ballymun Road",0.7781978081868424
147,"Mobhi Road",7113,"Ballymun Road",2.961815191270186
147,"Mobhi Road",7113,"Ballymun Road",3.0762237550395755
147,"Mobhi Road",7113,"Ballymun Road",3.227679140317691
