,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
65785,1.0,61.0,0.9836065573770492,59.0,11110.0,4.0,0.32365079365079363
130036,1.0,30.0,0.9836065573770492,28.0,20000.0,4.0,13.070911000082367
4968,1.0,25.0,0.9836065573770492,52.0,12110.0,5.0,40.400396825396825
12229,1.0,26.0,0.9836065573770492,53.0,15110.0,5.0,41.966497270845096
63624,1.0,61.0,0.9836065573770492,54.0,7111.0,1.0,4.013507029202682
123002,1.0,40.0,0.9836065573770492,53.0,18110.0,3.0,22.7
98251,1.0,43.0,0.9836065573770492,51.0,16110.0,2.0,15.2
136372,1.0,3.0,0.9836065573770492,33.0,9000.0,3.0,42.4
135145,1.0,59.0,0.9836065573770492,45.0,14111.0,4.0,0.5
77975,1.0,8.0,0.9836065573770492,60.0,15000.0,2.0,61.614999999999995
95246,1.0,42.0,0.9836065573770492,49.0,11100.0,1.0,11.266666666666667
54707,1.0,45.0,0.9836065573770492,59.0,8111.0,4.0,22.9
110119,1.0,28.0,0.9836065573770492,53.0,9100.0,0.0,34.15416666666666
37793,1.0,57.0,0.9836065573770492,53.0,12000.0,1.0,4.731728821968962
15211,1.0,27.0,0.9836065573770492,53.0,18100.0,2.0,39.89333333333333
109347,1.0,28.0,0.9836065573770492,51.0,7110.0,4.0,32.355555555555554
42016,1.0,24.0,0.9836065573770492,53.0,8110.0,1.0,40.5
16134,1.0,35.0,0.9836065573770492,51.0,10111.0,1.0,18.8
106159,1.0,10.0,0.9836065573770492,52.0,14000.0,5.0,57.77809523809524
108649,1.0,28.0,0.9836065573770492,48.0,14000.0,2.0,31.198333333333334
111858,1.0,30.0,0.9836065573770492,52.0,10111.0,0.0,39.0
59125,1.0,61.0,0.9836065573770492,59.0,8000.0,2.0,5.900458933811031
134451,1.0,2.0,0.9836065573770492,57.0,8100.0,0.0,68.825
56146,1.0,51.0,0.9836065573770492,56.0,9111.0,4.0,11.583333333333332
39406,1.0,15.0,0.9836065573770492,58.0,17111.0,3.0,68.6
42644,1.0,25.0,0.9836065573770492,52.0,14000.0,3.0,39.99305555555556
103830,1.0,41.0,0.9836065573770492,44.0,22110.0,3.0,12.2
61114,1.0,61.0,0.9836065573770492,57.0,7110.0,4.0,13.734439851835054
50025,1.0,35.0,0.9836065573770492,57.0,13110.0,5.0,41.09
136533,1.0,3.0,0.9836065573770492,43.0,7111.0,3.0,75.1392857142857
11526,1.0,26.0,0.9836065573770492,54.0,15100.0,0.0,36.968333333333334
51349,1.0,8.0,0.9836065573770492,42.0,8000.0,4.0,61.18333333333332
