stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,routes,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
7207,7207,Blessington Rd,Blessington Rd,53.14096,-6.560528056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7208,7208,Blessington Rd,Blessington Rd,53.14105194,-6.560516944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7214,7214,Belgard Sq. West ,Belgard Sq. West,53.28752,-6.375013056,29/05/2017 09:46,bac,"54A, , , , , , , , , , , , , , , , , , , , , , ",54A,,,,,,,,,,,,,,,,,,,,,,
7216,7216,North Wall Quay,North Wall Quay,53.34779,-6.242868889,29/05/2017 09:46,bac,"15A, 15B, 757, 747, , , , , , , , , , , , , , , , , , , ",15A,15B,757,747,,,,,,,,,,,,,,,,,,,
7217,7217,Diswellstown Rd,Diswellstown Rd,53.381755,-6.403206944,29/05/2017 09:46,bac,"37, , , , , , , , , , , , , , , , , , , , , , ",37,,,,,,,,,,,,,,,,,,,,,,
7218,7218,Diswellstown Rd,Diswellstown Rd,53.38163806,-6.402965,29/05/2017 09:46,bac,"37, , , , , , , , , , , , , , , , , , , , , , ",37,,,,,,,,,,,,,,,,,,,,,,
7219,7219,Blanchardstown Rd,Blanchardstown Rd,53.38342889,-6.403076944,29/05/2017 09:46,bac,"37, , , , , , , , , , , , , , , , , , , , , , ",37,,,,,,,,,,,,,,,,,,,,,,
7220,7220,Hillcrest Pk,Hillcrest Pk,53.38891,-6.275266944,29/05/2017 09:46,bac,"11, , , , , , , , , , , , , , , , , , , , , , ",11,,,,,,,,,,,,,,,,,,,,,,
7222,7222,Whitestown Way,Whitestown Way,53.27724806,-6.378055,29/05/2017 09:46,bac,"65B, 77X, , , , , , , , , , , , , , , , , , , , , ",65B,77X,,,,,,,,,,,,,,,,,,,,,
7224,7224,Ballycoolin Rd,Ballycoolin Rd,53.39781111,-6.338436111,29/05/2017 09:46,bac,"40D, 220, 17A, , , , , , , , , , , , , , , , , , , , ",40D,220,17A,,,,,,,,,,,,,,,,,,,,
7226,7226,Monkstown Ave,Monkstown Ave,53.28844389,-6.154088889,29/05/2017 09:46,bac,"4, , , , , , , , , , , , , , , , , , , , , , ",4,,,,,,,,,,,,,,,,,,,,,,
7227,7227,Blanchardstown Rd,Blanchardstown Rd,53.38378694,-6.403093056,29/05/2017 09:46,bac,"37, , , , , , , , , , , , , , , , , , , , , , ",37,,,,,,,,,,,,,,,,,,,,,,
7229,7229,Grange Castle,Grange Castle,53.330085,-6.451071111,29/05/2017 09:46,bac,"13, , , , , , , , , , , , , , , , , , , , , , ",13,,,,,,,,,,,,,,,,,,,,,,
7230,7230,Grange Castle,Grange Castle,53.32237111,-6.453763056,29/05/2017 09:46,bac,"13, , , , , , , , , , , , , , , , , , , , , , ",13,,,,,,,,,,,,,,,,,,,,,,
7231,7231,Newcastle Rd,Newcastle Rd,53.34031694,-6.452591944,29/05/2017 09:46,bac,"25D, 25B, , , , , , , , , , , , , , , , , , , , , ",25D,25B,,,,,,,,,,,,,,,,,,,,,
7233,7233,Carpenterstown Rd,Carpenterstown Rd,53.37329389,-6.388983889,29/05/2017 09:46,bac,"37, , , , , , , , , , , , , , , , , , , , , , ",37,,,,,,,,,,,,,,,,,,,,,,
7234,7234,Scoil Ui Dhalaigh,Scoil Ui Dhalaigh,53.36587,-6.495621111,29/05/2017 09:46,bac,"66X, 66B, , , , , , , , , , , , , , , , , , , , , ",66X,66B,,,,,,,,,,,,,,,,,,,,,
7236,7236,Clongriffin Rd,Clongriffin Rd,53.40287111,-6.154571111,29/05/2017 09:46,bac,"15, , , , , , , , , , , , , , , , , , , , , , ",15,,,,,,,,,,,,,,,,,,,,,,
7237,7237,Ballycoolin Rd,Ballycoolin Rd,53.39713389,-6.341563889,29/05/2017 09:46,bac,"220, 17A, 40D, , , , , , , , , , , , , , , , , , , , ",220,17A,40D,,,,,,,,,,,,,,,,,,,,
7238,7238,Ballycoolin Rd,Ballycoolin Rd,53.39724889,-6.34485,29/05/2017 09:46,bac,"40D, 17A, 220, , , , , , , , , , , , , , , , , , , , ",40D,17A,220,,,,,,,,,,,,,,,,,,,,
7239,7239,Lucan Road,Lucan Road,53.35405806,-6.368911111,29/05/2017 09:46,bac,"25B, 25D, 25A, 25, 26, 66B, 67, 66A, 66, , , , , , , , , , , , , , ",25B,25D,25A,25,26,66B,67,66A,66,,,,,,,,,,,,,,
7240,7240,Hansfield Road,Hansfield Road,53.38343389,-6.42349,29/05/2017 09:46,bac,"39, , , , , , , , , , , , , , , , , , , , , , ",39,,,,,,,,,,,,,,,,,,,,,,
7241,7241,Ballycoolin Rd,Ballycoolin Rd,53.39773806,-6.346861111,29/05/2017 09:46,bac,"40D, 220, 17A, , , , , , , , , , , , , , , , , , , , ",40D,220,17A,,,,,,,,,,,,,,,,,,,,
