stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23,route24,route25,route26,route27,route28,route29,route30,route31,route32,route33,route34,route35
2957,2957,McKee Avenue,McKee Avenue,53.39621694,-6.302595,29/05/2017 09:46,bac,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,2958,McKee Avenue,McKee Avenue,53.39438,-6.301125,29/05/2017 09:46,bac,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,2959,Blanchardstown Cent,Blanchardstown Centre,53.39414806,-6.392123889,29/05/2017 09:46,bac,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,2960,Blanchardstown,Blanchardstown,53.39424806,-6.388453889,29/05/2017 09:46,bac,238,236,220,76A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,2961,Auburn Ave,Auburn Ave,53.37883611,-6.358491111,29/05/2017 09:46,bac,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,2962,Killarney Lane,Killarney Lane,53.19620194,-6.121595,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,2963,Herbert Road,Herbert Road,53.19452806,-6.127136111,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,2964,Kilbride Lane,Kilbride Lane,53.19155111,-6.129011944,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,2965,Whitechurch Rd,Whitechurch Rd,53.28037611,-6.284323056,29/05/2017 09:46,bac,15B,116,161,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2966,2966,Grange Road,Grange Road,53.282775,-6.279128056,29/05/2017 09:46,bac,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,2967,Grange Road,Grange Road,53.28132611,-6.276888056,29/05/2017 09:46,bac,16,161,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2968,2968,Grange Road,Grange Road,53.28034111,-6.27356,29/05/2017 09:46,bac,116,161,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,2969,Grange Road,Grange Road,53.279415,-6.270436944,29/05/2017 09:46,bac,16,161,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,2970,Grange Road,Grange Road,53.27818111,-6.267321111,29/05/2017 09:46,bac,116,161,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,2971,Grange Road,Grange Road,53.27629806,-6.264231111,29/05/2017 09:46,bac,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,2975,Brehon Field Rd,Brehon Field Rd,53.27186889,-6.247685,29/05/2017 09:46,bac,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976,2976,Brehon Field Rd,Brehon Field Rd,53.27202806,-6.25542,29/05/2017 09:46,bac,16,16C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,2977,Brehon Field Rd,Brehon Field Rd,53.27357111,-6.260241944,29/05/2017 09:46,bac,16C,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,2978,Grange Road,Grange Road,53.27699194,-6.265478056,29/05/2017 09:46,bac,16,16C,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,2979,Grange Road,Grange Road,53.27849611,-6.268328889,29/05/2017 09:46,bac,116,16C,16,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,2980,Grange Road,Grange Road,53.28003111,-6.273081111,29/05/2017 09:46,bac,161,16,16C,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,2981,Grange Road,Grange Road,53.28128389,-6.277281944,29/05/2017 09:46,bac,116,16C,16,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,2983,Taylors Lane,Taylors Lane,53.28160694,-6.287543056,29/05/2017 09:46,bac,161,15B,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,2984,Taylors Lane,Taylors Lane,53.28151889,-6.293685,29/05/2017 09:46,bac,61,15B,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,2985,Bushy Park Rd,Bushy Park Rd,53.307295,-6.283118889,29/05/2017 09:46,bac,15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,2986,Bushy Park Rd,Bushy Park Rd,53.30759694,-6.276573056,29/05/2017 09:46,bac,15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,2988,Zion Road,Zion Road,53.30837611,-6.273503889,29/05/2017 09:46,bac,15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,2989,Orwell Road,Orwell Road,53.30803389,-6.270546944,29/05/2017 09:46,bac,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,2990,Orwell Road,Orwell Road,53.30620889,-6.267256944,29/05/2017 09:46,bac,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,2991,Grange Road,Grange Road,53.28327111,-6.279268056,29/05/2017 09:46,bac,16,16C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,2992,Grange Road,Grange Road,53.28462,-6.281186944,29/05/2017 09:46,bac,16C,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993,2993,Herbert Road,Herbert Road,53.19444,-6.127376944,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,2994,Killarney Lane,Killarney Lane,53.19663694,-6.122086944,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2995,2995,Clonkeen Rd,Clonkeen Rd,53.27018611,-6.15984,29/05/2017 09:46,bac,63,84A,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996,2996,Bray Road,Bray Road,53.27075694,-6.167421944,29/05/2017 09:46,bac,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,2997,Main Street Bray,Main Street Bray,53.20316111,-6.109713056,29/05/2017 09:46,bac,145,45A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,2998,Braemor Park,Braemor Park,53.30448611,-6.263818889,29/05/2017 09:46,bac,14,14C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,2999,Orwell Road,Orwell Road,53.30603389,-6.267301944,29/05/2017 09:46,bac,14C,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,3000,Orwell Road,Orwell Road,53.30786306,-6.270591944,29/05/2017 09:46,bac,14,14C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,3001,Orwell Road,Orwell Road,53.310185,-6.273783056,29/05/2017 09:46,bac,14C,15B,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,3002,Orwell Road,Orwell Road,53.31121389,-6.274163056,29/05/2017 09:46,bac,14,15B,14C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,3003,Ballycullen Ave,Ballycullen Ave,53.28026889,-6.340183889,29/05/2017 09:46,bac,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,3004,Ballycullen Ave,Ballycullen Ave,53.282125,-6.340806944,29/05/2017 09:46,bac,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,3005,Ballycullen Ave,Ballycullen Ave,53.278525,-6.342011111,29/05/2017 09:46,bac,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,3006,Ballycullen Rd,Ballycullen Rd,53.27845306,-6.331246111,29/05/2017 09:46,bac,65B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,3007,Ballycullen Rd,Ballycullen Rd,53.27618389,-6.331093056,29/05/2017 09:46,bac,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,3008,Celbridge Rd,Celbridge Rd,53.37399694,-6.586471111,29/05/2017 09:46,bac,67X,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,3011,Bird Avenue,Bird Avenue,53.30514306,-6.244386944,29/05/2017 09:46,bac,142,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,3012,Bird Avenue,Bird Avenue,53.30527806,-6.244128056,29/05/2017 09:46,bac,17,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,3014,Goatstown Rd,Goatstown Rd,53.30014806,-6.233098056,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,3015,Goatstown Rd,Goatstown Rd,53.29846889,-6.233733889,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,3016,Goatstown Rd,Goatstown Rd,53.29643,-6.233176111,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,3017,Goatstown Rd,Goatstown Rd,53.29434111,-6.231105,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,3018,Drummartin Rd,Drummartin Rd,53.29201694,-6.228633056,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,3019,Drummartin Rd,Drummartin Rd,53.29026889,-6.227388889,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,3020,Kilmacud Rd,Kilmacud Rd,53.28919806,-6.224971111,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,3021,Kilmacud Rd,Kilmacud Rd,53.28907806,-6.221338056,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,3022,Kilmacud Rd,Kilmacud Rd,53.28884389,-6.217026944,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,3023,Kilmacud Rd,Kilmacud Rd,53.28878889,-6.217951111,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,3024,Kilmacud Rd,Kilmacud Rd,53.28896611,-6.222121944,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3025,3025,Kilmacud Rd,Kilmacud Rd,53.28899306,-6.225623889,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,3026,Drummartin Rd,Drummartin Rd,53.29085806,-6.22797,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,3027,Kilmacud Rd,Kilmacud Rd,53.29217611,-6.22901,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,3028,Goatstown Rd,Goatstown Rd,53.29470306,-6.231616944,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,3029,Goatstown Rd,Goatstown Rd,53.29636806,-6.233311944,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,3030,Goatstown Rd,Goatstown Rd,53.29915889,-6.233506111,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,3031,Goatstown Rd,Goatstown Rd,53.30142306,-6.233503056,29/05/2017 09:46,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,3032,Rock Road,Rock Road,53.30232111,-6.182088889,29/05/2017 09:46,bac,17,7,84A,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,3033,Blackrock,Blackrock,53.30192389,-6.178183056,29/05/2017 09:46,bac,7A,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,3034,Temple Road,Temple Road,53.29962694,-6.174688889,29/05/2017 09:46,bac,7,46E,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,3036,Monkstown Rd,Monkstown Rd,53.29584111,-6.167643889,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,3037,Monkstown Rd,Monkstown Rd,53.29550306,-6.165728056,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,3038,Monkstown Rd,Monkstown Rd,53.29475306,-6.160936111,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,3039,Monkstown Rd,Monkstown Rd,53.294345,-6.157905,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,3040,Monkstown Rd,Monkstown Rd,53.29382111,-6.154345,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,3041,Monkstown Crescent,Monkstown Crescent,53.29403111,-6.149588889,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,3042,Dunleary Hill,Dunleary Hill,53.29505806,-6.146231111,29/05/2017 09:46,bac,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,3045,Vevay Road,Vevay Road,53.19743111,-6.108995,29/05/2017 09:46,bac,45A,184,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,3046,Georges Street,Georges Street,53.29191,-6.135168889,29/05/2017 09:46,bac,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,3047,George's St,George's St,53.29016611,-6.131006944,29/05/2017 09:46,bac,59,7,45A,111,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,3048,Glasthule Rd,Glasthule Rd,53.28838694,-6.127015,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,3049,Glasthule Rd,Glasthule Rd,53.287405,-6.124393056,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,3050,Glasthule Rd,Glasthule Rd,53.28695111,-6.122186111,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,3051,Sandycove Rd,Sandycove Rd,53.28612806,-6.11777,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,3052,Sandycove Rd,Sandycove Rd,53.28583,-6.114878889,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053,3053,Breffni Road,Breffni Road,53.28560694,-6.111316944,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,3054,Ulverton Road,Ulverton Road,53.2841,-6.107558056,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,3055,Ulverton Road,Ulverton Road,53.28183,-6.106936111,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,3056,Ulverton Road,Ulverton Road,53.28030389,-6.107068889,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,3057,Ulverton Road,Ulverton Road,53.278275,-6.107056944,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,3058,Ulverton Road,Ulverton Road,53.278395,-6.107878889,29/05/2017 09:46,bac,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,3059,Ulverton Road,Ulverton Road,53.28000389,-6.107098056,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,3060,Ulverton Road,Ulverton Road,53.28213806,-6.106953056,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,3061,Ulverton Road,Ulverton Road,53.28416,-6.10781,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,3062,Breffni Road,Breffni Road,53.28557194,-6.111808889,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,3063,Sandycove Rd,Sandycove Rd,53.28597389,-6.116293056,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,3064,Sandycove Rd,Sandycove Rd,53.28608694,-6.11939,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,3065,Glasthule Rd,Glasthule Rd,53.28697694,-6.122758889,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,3066,Glasthule Rd,Glasthule Rd,53.28766111,-6.125691111,29/05/2017 09:46,bac,7D,111,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,3067,Glasthule Rd,Glasthule Rd,53.28844694,-6.127371944,29/05/2017 09:46,bac,59,111,7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,3068,George's St,George's St,53.28983194,-6.130476111,29/05/2017 09:46,bac,7A,111,59,7,45A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,3069,George's St,George's St,53.290755,-6.132633056,29/05/2017 09:46,bac,45A,7,59,111,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,3070,George's St,George's St,53.29211694,-6.135813056,29/05/2017 09:46,bac,7A,111,59,7,45A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,3071,Dunleary Hill,Dunleary Hill,53.29498694,-6.145178056,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,3072,Longford Place,Longford Place,53.29418889,-6.148683889,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,3073,Monkstown Rd,Monkstown Rd,53.29378694,-6.155025,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,3074,Monkstown Rd,Monkstown Rd,53.29448889,-6.159268056,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,3075,Monkstown Rd,Monkstown Rd,53.29487694,-6.162233056,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,3076,Monkstown Rd,Monkstown Rd,53.29543306,-6.166006111,29/05/2017 09:46,bac,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,3077,Monkstown Rd,Monkstown Rd,53.29592,-6.168441111,29/05/2017 09:46,bac,7,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078,3078,Forest Road,Forest Road,53.44025889,-6.249618889,29/05/2017 09:46,bac,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,3079,Newtown Ave,Newtown Ave,53.29830611,-6.17058,29/05/2017 09:46,bac,7,7A,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,3080,Newtown Ave,Newtown Ave,53.30023111,-6.174108889,29/05/2017 09:46,bac,84A,84,7A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,3081,Carysfort Avenue,Carysfort Avenue,53.30060694,-6.177763056,29/05/2017 09:46,bac,7,7A,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,3082,Carysfort Avenue,Carysfort Avenue,53.30045,-6.178085,29/05/2017 09:46,bac,84A,84,114,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,3083,Frascati Road,Frascati Road,53.30123194,-6.181001944,29/05/2017 09:46,bac,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,3084,Frascati Road,Frascati Road,53.30140111,-6.181071111,29/05/2017 09:46,bac,7,4,84A,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,3085,Blackrock,Blackrock,53.30247389,-6.178346111,29/05/2017 09:46,bac,46E,17,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,3087,Forest Road,Forest Road,53.44611694,-6.240593056,29/05/2017 09:46,bac,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,3088,River Valley Rd,River Valley Rd,53.45272,-6.237088889,29/05/2017 09:46,bac,102,41X,41C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,3089,Rathingle Road,Rathingle Road,53.44895806,-6.239763056,29/05/2017 09:46,bac,41C,41X,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,3090,Rathingle Road,Rathingle Road,53.44960889,-6.241513056,29/05/2017 09:46,bac,102,41X,41C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,3091,Avondale Road,Avondale Road,53.27368111,-6.123916944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,3092,Avondale Road,Avondale Road,53.27213806,-6.126785,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,3093,Avondale Road,Avondale Road,53.27033694,-6.130108889,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,3094,Cluny Grove,Cluny Grove,53.26919806,-6.127238056,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,3095,Ballinaclea Road,Ballinaclea Road,53.27085194,-6.121753056,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,3096,Killiney Road,Killiney Road,53.27044806,-6.118251944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,3097,Killiney Road,Killiney Road,53.26991611,-6.115056944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,3098,Killiney Hill Rd,Killiney Hill Rd,53.26786889,-6.11437,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,3099,Killiney Hill Rd,Killiney Hill Rd,53.26491389,-6.115066944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,3100,Killiney Hill Rd,Killiney Hill Rd,53.26817306,-6.114485,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,3101,Killiney Road,Killiney Road,53.26992889,-6.115468889,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,3102,Killiney Road,Killiney Road,53.270475,-6.118645,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,3103,Ballinaclea Road,Ballinaclea Road,53.27093389,-6.121526944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,3105,Avondale Road,Avondale Road,53.27119611,-6.129121111,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,3106,Avondale Road,Avondale Road,53.27199806,-6.127408889,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,3107,Avondale Road,Avondale Road,53.273305,-6.124346111,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,3108,Avondale Road,Avondale Road,53.27458694,-6.12329,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,3111,Barnhill Rd,Barnhill Rd,53.27731194,-6.115346944,29/05/2017 09:46,bac,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,3112,Maynooth Road,Maynooth Road,53.35051,-6.544726111,29/05/2017 09:46,bac,67X,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,3114,Stradbrook Rd,Stradbrook Rd,53.2958,-6.169753889,29/05/2017 09:46,bac,46E,4,84A,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,3115,Stradbrook Rd,Stradbrook Rd,53.29399,-6.167606944,29/05/2017 09:46,bac,84,84A,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,3116,Rowan Pk,Rowan Pk,53.28992306,-6.167163889,29/05/2017 09:46,bac,4,84A,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,3117,Deansgrange Rd,Deansgrange Rd,53.28560694,-6.166976111,29/05/2017 09:46,bac,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,3118,Deansgrange Rd,Deansgrange Rd,53.28398611,-6.166358889,29/05/2017 09:46,bac,84A,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,3119,Deansgrange Rd,Deansgrange Rd,53.28155111,-6.165286111,29/05/2017 09:46,bac,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,3120,Clonkeen Rd,Clonkeen Rd,53.27744194,-6.163273056,29/05/2017 09:46,bac,84A,84,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,3122,Clonkeen Rd,Clonkeen Rd,53.27397889,-6.161635,29/05/2017 09:46,bac,63,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,3123,Clonkeen Rd,Clonkeen Rd,53.27175889,-6.160546944,29/05/2017 09:46,bac,84A,84,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,3124,Clonkeen Rd,Clonkeen Rd,53.26944194,-6.159378056,29/05/2017 09:46,bac,63,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,3125,Clonkeen Rd,Clonkeen Rd,53.26727,-6.158385,29/05/2017 09:46,bac,84A,84,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,3126,Clonkeen Rd,Clonkeen Rd,53.26541694,-6.159173889,29/05/2017 09:46,bac,63,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,3127,Old Bray Road,Old Bray Road,53.26262806,-6.153971944,29/05/2017 09:46,bac,84A,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,3128,Old Bray Road,Old Bray Road,53.26129389,-6.151051111,29/05/2017 09:46,bac,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,3129,Bray Road,Bray Road,53.26238694,-6.150276944,29/05/2017 09:46,bac,84A,84,63,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,3130,Bray Road,Bray Road,53.25860389,-6.146006111,29/05/2017 09:46,bac,145,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,3131,Bray Road,Bray Road,53.25551694,-6.145171944,29/05/2017 09:46,bac,84A,84,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132,3132,Bray Road,Bray Road,53.25272806,-6.142951944,29/05/2017 09:46,bac,145,84,84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
